expriment_name,metric,step,value
b4_reuse_n5,eval/miou_1.0_class_road,71688.0,0.8460757732391357
b4_reuse_n5,eval/miou_1.0_class_sidewalk,0.0,0.0077857282012701035
b4_reuse_n5,eval/miou_1.0_class_sidewalk,3229.0,0.4960726499557495
b4_reuse_n5,eval/miou_1.0_class_sidewalk,6515.0,0.5055140256881714
b4_reuse_n5,eval/miou_1.0_class_sidewalk,9775.0,0.5244183540344238
b4_reuse_n5,eval/miou_1.0_class_sidewalk,13041.0,0.5227000117301941
b4_reuse_n5,eval/miou_1.0_class_sidewalk,16331.0,0.5329880714416504
b4_reuse_n5,eval/miou_1.0_class_sidewalk,19629.0,0.5308091640472412
b4_reuse_n5,eval/miou_1.0_class_sidewalk,22901.0,0.5375227928161621
b4_reuse_n5,eval/miou_1.0_class_sidewalk,22901.0,0.5375227928161621
b4_reuse_n5,eval/miou_1.0_class_sidewalk,28296.0,0.5362677574157715
b4_reuse_n5,eval/miou_1.0_class_sidewalk,33615.0,0.5448394417762756
b4_reuse_n5,eval/miou_1.0_class_sidewalk,38908.0,0.5410581231117249
b4_reuse_n5,eval/miou_1.0_class_sidewalk,44268.0,0.5444302558898926
b4_reuse_n5,eval/miou_1.0_class_sidewalk,49614.0,0.5462102890014648
b4_reuse_n5,eval/miou_1.0_class_sidewalk,55016.0,0.5456560254096985
b4_reuse_n5,eval/miou_1.0_class_sidewalk,60548.0,0.5522722005844116
b4_reuse_n5,eval/miou_1.0_class_sidewalk,66072.0,0.5532427430152893
b4_reuse_n5,eval/miou_1.0_class_sidewalk,71688.0,0.5492507219314575
b4_reuse_n5,eval/miou_1.0_class_other-ground,0.0,0.0003963456256315112
b4_reuse_n5,eval/miou_1.0_class_other-ground,3229.0,0.1267131119966507
b4_reuse_n5,eval/miou_1.0_class_other-ground,6515.0,0.1235426515340805
b4_reuse_n5,eval/miou_1.0_class_other-ground,9775.0,0.12963423132896423
b4_reuse_n5,eval/miou_1.0_class_other-ground,13041.0,0.1167244091629982
b4_reuse_n5,eval/miou_1.0_class_other-ground,16331.0,0.13725733757019043
b4_reuse_n5,eval/miou_1.0_class_other-ground,19629.0,0.1681133657693863
b4_reuse_n5,eval/miou_1.0_class_other-ground,22901.0,0.12851402163505554
b4_reuse_n5,eval/miou_1.0_class_other-ground,22901.0,0.12851402163505554
b4_reuse_n5,eval/miou_1.0_class_other-ground,28296.0,0.1257014274597168
b4_reuse_n5,eval/miou_1.0_class_other-ground,33615.0,0.10365035384893417
b4_reuse_n5,eval/miou_1.0_class_other-ground,38908.0,0.157833531498909
b4_reuse_n5,eval/miou_1.0_class_other-ground,44268.0,0.15135689079761505
b4_reuse_n5,eval/miou_1.0_class_other-ground,49614.0,0.15108837187290192
b4_reuse_n5,eval/miou_1.0_class_other-ground,55016.0,0.12745699286460876
b4_reuse_n5,eval/miou_1.0_class_other-ground,60548.0,0.14715109765529633
b4_reuse_n5,eval/miou_1.0_class_other-ground,66072.0,0.15854857861995697
b4_reuse_n5,eval/miou_1.0_class_other-ground,71688.0,0.15451590716838837
b4_reuse_n5,eval/miou_1.0_class_building,0.0,0.07243605703115463
