expriment_name,metric,step,value
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,24469.0,0.7104830145835876
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,50652.0,0.7217772006988525
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,76505.0,0.7258356809616089
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,102716.0,0.7231416702270508
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,128744.0,0.7298828363418579
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,154725.0,0.7305079698562622
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,180726.0,0.7299318313598633
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,206740.0,0.7282562851905823
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,232748.0,0.7287272214889526
m3l_b4_base_2Fint12,eval/miou_1.0_class_vegetation,250000.0,0.7295466065406799
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,24469.0,0.08598241209983826
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,50652.0,0.11318222433328629
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,76505.0,0.11950597167015076
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,102716.0,0.1254195272922516
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,128744.0,0.1191892996430397
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,154725.0,0.12267158180475235
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,180726.0,0.12667571008205414
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,206740.0,0.12648393213748932
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,232748.0,0.12600818276405334
m3l_b4_base_2Fint12,eval/miou_1.0_class_trunk,250000.0,0.1261976659297943
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,24469.0,0.6387622952461243
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,50652.0,0.6657536029815674
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,76505.0,0.6766590476036072
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,102716.0,0.654595136642456
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,128744.0,0.672541081905365
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,154725.0,0.6758863925933838
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,180726.0,0.6766515374183655
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,206740.0,0.6703466176986694
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,232748.0,0.673082709312439
m3l_b4_base_2Fint12,eval/miou_1.0_class_terrain,250000.0,0.6745586395263672
m3l_b4_base_2Fint8,global_step/sec,0.0,0.0
m3l_b4_base_2Fint8,learning_rate,0.0,9.999999747378752e-05
m3l_b4_base_2Fint8,total_loss_1,0.0,5.466721534729004
m3l_b4_base_2Fint8,losses/semantic_merged_logits/mul_1,0.0,5.453688144683838
m3l_b4_base_2Fint8,Losses/clone_loss,0.0,5.453688144683838
m3l_b4_base_2Fint8,Losses/regularization_loss,0.0,0.013033189810812473
m3l_b4_base_2Fint4,eval/miou_1.0_overall,250000.0,0.40684136748313904
m3l_b4_base_2Fint4,eval/miou_1.0_class_vehicle,250000.0,0.7018235325813293
m3l_b4_base_2Fint4,eval/miou_1.0_class_two-wheeler,250000.0,0.0004606193397194147
m3l_b4_base_2Fint4,eval/miou_1.0_class_person,250000.0,0.0
m3l_b4_base_2Fint4,eval/miou_1.0_class_rider,250000.0,0.0
m3l_b4_base_2Fint4,eval/miou_1.0_class_road,250000.0,0.8703900575637817
m3l_b4_base_2Fint4,eval/miou_1.0_class_sidewalk,250000.0,0.5951393246650696
m3l_b4_base_2Fint4,eval/miou_1.0_class_other-ground,250000.0,0.20728027820587158
m3l_b4_base_2Fint4,eval/miou_1.0_class_building,250000.0,0.77567458152771
m3l_b4_base_2Fint4,eval/miou_1.0_class_object,250000.0,0.14977571368217468
m3l_b4_base_2Fint4,eval/miou_1.0_class_vegetation,250000.0,0.7477396130561829
m3l_b4_base_2Fint4,eval/miou_1.0_class_trunk,250000.0,0.13554269075393677
m3l_b4_base_2Fint4,eval/miou_1.0_class_terrain,250000.0,0.6982699036598206
m3l_b4_range5_1,eval/miou_1.0_overall,130398.0,0.3778560161590576
m3l_b4_range5_1,eval/miou_1.0_overall,145312.0,0.379855751991272
m3l_b4_range5_1,eval/miou_1.0_overall,160231.0,0.3817501962184906
m3l_b4_range5_1,eval/miou_1.0_overall,175291.0,0.38022351264953613
m3l_b4_range5_1,eval/miou_1.0_class_vehicle,130398.0,0.6419093608856201
m3l_b4_range5_1,eval/miou_1.0_class_vehicle,145312.0,0.6380941271781921
m3l_b4_range5_1,eval/miou_1.0_class_vehicle,160231.0,0.6514682173728943
m3l_b4_range5_1,eval/miou_1.0_class_vehicle,175291.0,0.6494625210762024
m3l_b4_range5_1,eval/miou_1.0_class_two-wheeler,130398.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_two-wheeler,145312.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_two-wheeler,160231.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_two-wheeler,175291.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_person,130398.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_person,145312.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_person,160231.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_person,175291.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_rider,130398.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_rider,145312.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_rider,160231.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_rider,175291.0,0.0
m3l_b4_range5_1,eval/miou_1.0_class_road,130398.0,0.8499424457550049
m3l_b4_range5_1,eval/miou_1.0_class_road,145312.0,0.8502025604248047
m3l_b4_range5_1,eval/miou_1.0_class_road,160231.0,0.8525495529174805
m3l_b4_range5_1,eval/miou_1.0_class_road,175291.0,0.8524543642997742
